prompt,completion
"make phone call ? ,","Should I make that phone call?,"
"make day special ? ,","What can we do to make your day more special?,"
"want visit relatives ? ,","Do you want to visit your relatives?,"
"Would anyone like play game ? ,","Would anyone like to play a game?,"
"keep mind healthy short time ago ,","Please keep in mind I was very healthy just a short time ago,"
"light fire fireplace ? ,","How about if we light a fire in the fireplace?,"
"Would like help prepare lunch ? ,","Would you like me to help prepare lunch?,"
"Would like help prepare breakfast ? ,","Would you like me to help prepare breakfast?,"
"Would like help prepare dinner ? ,","Would you like me to help prepare dinner?,"
"Would like watch TV ? ,","Would you like to watch some TV?,"
"fill car gas ? ,","Can you fill up the car with gas?,"
"Would like go somewhere overnight ? ,","Would you like to go somewhere overnight?,"
"Would like take road trip ? ,","Would you like to take a road trip?,"
"fold laundry ,","I can fold the laundry,"
"forget set alarm ,","Don't forget to set your alarm,"
"comfortable ? ,","Are you comfortable?,"
"could truth ,","That could not be further from the truth,"
"However , late appointment ,","However, you'll be late for your appointment,"
"make plans weekend ? ,","Can we make plans for the weekend?,"
"bring store ? ,","Can you bring me to the store?,"
"Hmm ,","Hmm,"
"good weekend ? ,","Did you have a good weekend?,"
"agree ? ,","Do you agree?,"
"mail letter ? ,","Can you mail this letter for me?,"
"mail ? ,","Can you mail this for me?,"
"? ,","How did I do?,"
"think ? ,","Do you think so?,"
"turn ? ,","How did it turn out?,"
"long gone ? ,","How long will you be gone?,"
"weather ? ,","How is the weather?,"
"much cost ? ,","How much will it cost?,"
"much ? ,","How much more is there?,"
"trying say ? ,","What are you trying to say to me?,"
"going tonight ? ,","What are you going to do tonight?,"
"know ? ,","How will I know it's you?,"
"answer question ,","That doesn't answer the question,"
"plans ? ,","What are your plans for me?,"
"weekend ? ,","What did you do on the weekend?,"
"think ? ,","What did they think about that?,"
"? ,","What do you have to do?,"
"happened ? ,","What happened to you?,"
"morning ? ,","What did you do this morning?,"
"kind shows ? ,","What kind of shows are on?,"
"afternoon ? ,","What did you do this afternoon?,"
"think ? said ,","What do you think? I said,"
"? ,","What was he doing?,"
"What's lunch ? ,","What's for lunch?,"
"? ,","What were they doing?,"
"Would anyone like play game ? ,","Would anyone like to play a game?,"
"able get another one ? ,","Will I be able to get another one?,"
"How's day going far ? ,","How's your day going so far?,"
"I'm sorry , appointment ,","I'm sorry, but I have an appointment now,"
"I'd like watch news ,","I'd like to watch the news,"
"I'm sorry , really can't make ,","I'm sorry, I really can't make it,"
"Hey , let's get together talk sometime ,","Hey, let's get together and talk sometime,"
"like always pictured ,","Just like I always pictured it,"
"That's easy say ,","That's easy for you to say,"
"Yeah , little scary ,","Yeah, this is a little scary,"
"How's going today ? ,","How's it going today for you?,"
"Eh , little snack would good ,","Eh, a little snack would be good,"
"I'd like watch little TV ,","I'd like to watch a little TV,"
"Someday want ,","Someday I want to,"
"hear understand everything say ,","I can hear and understand everything you say,"
"Excuse , I'd like say something ,","Excuse me, I'd like to say something,"
"think artificial voice ? ,","What do you think of my artificial voice?,"
"love eat chorico ,","I love to eat chorico,"
"wait finish I'm trying say ,","Please wait until I finish what I'm trying to say,"
"minute Let think ,","Just a minute Let me think about that,"
"would like cherries ,","I would like a few cherries,"
"would like glass juice ,","I would like to have a glass of juice,"
"like peanut butter Jelly sandwich ,","I like to have a peanut butter and Jelly sandwich,"
"like eggs scrambled ,","I like my eggs scrambled,"
"like fish chips ,","I like to have fish and chips,"
"I'd like pancakes syrup ,","I'd like to have pancakes with syrup,"
"like company come visit ,","I like to have company come to visit,"
"happy friend ,","I am so happy to have you as my friend,"
"like watch much TV ,","I don't like to watch too much TV,"
"turn radio ,","Please turn on the radio,"
"know know much appreciate ,","I know you know how much I appreciate you,"
"really choice ,","I really don't have a choice,"
"remember hard ,","I don't remember it being all that hard,"
"I'm grateful life ,","I'm so grateful to have you in my life,"
"absolutely ridiculous ,","It is absolutely ridiculous,"
"friendship means much ,","Your friendship means so much to me,"
"I'm going impossible ,","I'm going to do the impossible,"
"think kind cute ,","I think she is kind of cute,"
"love say ,","I love you more than I can say,"
"easy love ,","It's so easy to love you,"
"know much love ? ,","Do you know how much I love you?,"
"always heart ,","I will always be in your heart,"
"I'm glad life ,","I'm glad you're in my life,"
"amazing daughter ,","You are an amazing daughter,"
"greatest kids world ,","You are the greatest kids in the world,"
"amazing brother ,","You are an amazing brother,"
"special person ,","You are the most special person,"
"fear loss ,","I fear the loss of,"
"feel frightened sometimes ,","I feel frightened sometimes,"
"illness really get ,","This illness can really get you down,"
"I'm sorry I'm able help anymore ,","I'm sorry I'm not able to help you anymore,"
"wish could change things ,","I wish I could change things for you,"
"I'm really sorry put ,","I'm really sorry to put you through this,"
"open door let breeze ? ,","Can you open the door to let the breeze in?,"
"Congratulations graduation ,","Congratulations on your graduation,"
"Congratulations engagement ,","Congratulations on your engagement,"
"hope celebrate many ,","I hope you celebrate many more,"
"hope celebrate many ,","I hope I can celebrate many more with you,"
"I'm glad could part celebration ,","I'm glad I could be part of the celebration,"
"feet cold socks ? ,","My feet are cold Can I have my socks?,"
"I've problem help get cleaned ? ,","I've had a problem Can you help me get cleaned up?,"
"Would mind talk interrupting ? ,","Would you mind if I talk while you are interrupting?,"
"something say ,","I have something to say about that,"
"something else going ask ,","There was something else I was going to ask you,"
"keep mind person ,","Please keep in mind I am a person,"
"know understand ? ,","You know what I don't understand?,"
"like watching things ,","I don't like watching you do things,"
"want go doctor's appointment ? ,","Do you want to go with me to the doctor's appointment?,"
"want go doctor's appointment ? ,","Do you want to go with me to the doctor's appointment?,"
"would like celebrate anniversary ? ,","How would you like to celebrate our anniversary?,"
"Would willing try go vacation ? ,","Would you be willing to try to go on a vacation?,"
"get newspaper outside ? ,","Can you get the newspaper from outside?,"
"Hurry , miss bus ,","Hurry up, you'll miss the bus,"
"Hurry eat breakfast late ,","Hurry up and eat your breakfast or you will be late,"
"Whose turn wash dishes ? ,","Whose turn is it to wash the dishes?,"
"make everyone's lunch tomorrow ,","I can make everyone's lunch for tomorrow,"
"There's chance that's correct ,","There's not a chance that that's correct,"
"think saying correct ,","I don't think what you're saying is correct,"
"like ? ,","Do you like him?,"
"could truth ,","That could not be further from the truth,"
"take ? ,","Can I take these with me?,"
"? ,","What do I do now?,"
"happened school today ? ,","What happened at school today?,"
",","Over and over again,"
"What's agenda today ? ,","What's on your agenda for today?,"
"last night ? ,","What did you do last night?,"
"want eat lunch ,","I want to eat lunch now,"
"Feeling kind sick ,","Feeling kind of sick,"
"plans evening ? ,","What are your plans for the evening?,"
"last time happened ? ,","When was the last time that happened?,"
"would like grapes ,","I would like to have some grapes,"
"Would like get mail ? ,","Would you like to get the mail?,"
"Goodnight love ,","Goodnight I love you,"
"anything ? ,","Is there anything I can do?,"
"I'm feeling little blue ,","I'm feeling a little blue,"
"I'd like wheat toast jam ,","I'd like to have some wheat toast with jam,"
"know call ? ,","How do I know when to call?,"
"want know ,","I want to know what it is,"
"ever ? ,","Have you ever had those?,"
"kind cookies ? ,","What kind of cookies do you have?,"
"know ready ? ,","How do I know when you'll be ready?,"
"feet cold slippers ? ,","My feet are cold Can I have my slippers?,"
"takes little longer answer patient ,","It takes me a little longer to answer Please be patient,"
"get message ? ,","Did you get my message?,"
"Getting everything done wanted ? ,","Getting everything done you wanted to?,"
"I'd like hamburger fries ,","I'd like to have a hamburger with fries,"
"know call ? ,","How do I know when to call?,"
"really enjoy eating pizza ,","I really enjoy eating pizza,"
"come ? ,","Didn't it come?,"
"hope know much mean ,","I hope you know how much you mean to me,"
"morning ? ,","What did you do this morning?,"
"? ,","What have you been doing?,"
"programmed voice machine ? ,","Who programmed this voice machine?,"
"make difference ,","It doesn't make any difference,"
"I'd like lettuce tomato sandwich ,","I'd like to have lettuce and tomato on my sandwich,"
"That's really generous ,","That's really generous of you,"
"know ? ,","How do I know when you will be there?,"
"Makes mad ,","Makes me mad,"
"I'd like wheat toast strawberry jam ,","I'd like to have some wheat toast with strawberry jam,"
"That's really generous ,","That's really generous of you,"
"speech problem use machine talk ,","I have a speech problem I use a machine to talk,"
"missed rhythm conversation ,","I missed the rhythm of conversation,"
"I've meaning tell much love ,","I've been meaning to tell you how much I love you,"
"enjoy talking ,","I enjoy talking to you,"
"ask ,","You are all I have to ask for,"
"want together forever ,","I want to be together forever,"
"could ever wanted ? ,","What more could I have ever wanted than you?,"
"Geez , much ,","Geez, this is so much,"
"hope everything turns OK ,","I hope everything turns out OK,"
"One good thing disease ,","One good thing about this disease is,"
"remember I'm still human ,","Please remember I'm still a human being,"
"Let's remember ,","Let's remember to be here for each other,"
"could possibly understand ,","You could not possibly understand,"
"need help trying figure best way communicate ,","I need some help with trying to figure out the best way to communicate with you,"
"think saying really make good sense ,","I think what you're saying doesn't really make good sense,"
"happy part today ,","I am so happy to be part of today,"
"Who's going grocery shopping ? ,","Who's going to do the grocery shopping?,"
"open window get air ,","Please open the window and get some air in here,"
"like company come visit ,","I like to have company come to visit,"
"think something keep busy ? ,","Can you think of something I can do to keep busy?,"
"Would like get tickets show ? ,","Would you like to get tickets for the show?,"
"tell often enough much love ? ,","Do I tell you often enough how much I love you?,"
"much fun long time ,","I haven't had this much fun in a long time,"
"fuck's malfunction ? ,","What the fuck's your malfunction?,"
"everything ? ,","Do I have everything?,"
"right thing ? ,","Isn't that the right thing to do?,"
"Yeah , think opportunity gone ,","Yeah, I think that opportunity is gone,"
"definition ? ,","What is the definition of?,"
"make today ? ,","What did you make today?,"
"ALS trouble speaking ,","I have ALS and I have trouble speaking,"
"help set iPad ? ,","Can you help me set up my iPad?,"
"tell can't understand I'm trying say ,","Please tell me if you can't understand what I'm trying to say,"
"great us together celebrate ,","It's great for all of us to be together to celebrate,"
"cannot imagine difficult ,","You cannot imagine how difficult this can be,"
"Tell cannot understand I'm trying say ,","Tell me if you cannot understand what I'm trying to say,"
"school today ? ,","What did you do at school today?,"
"get touch ? ,","How will I get in touch with you?,"
"What's ? ,","What's that doing in here?,"
"need help trying figure best way communicate ,","I need some help with trying to figure out the best way to communicate with you,"
"understand , takes longer answer ,","I can understand you, it just takes me longer to answer,"
"speech problem use machine talk ,","I have a speech problem I use this machine to talk,"
"Alright , time go sleep hope sleep well ,","Alright, it's time to go to sleep I hope you sleep well,"
"Sometimes feel one understands feels like go ,","Sometimes I feel no one understands what it feels like to go through this,"
"What's going world ? ,","What's going on in your world?,"
"feel terrible unhappy ,","I feel terrible that you're so unhappy,"
"Congratulations birth new baby ,","Congratulations on the birth of your new baby,"
"I'm sorry He's moment May ask who's calling ? ,","I'm sorry He's not here at the moment May I ask who's calling?,"
"I'd like two eggs easy chorico , hash Browns wheat toast ,","I'd like to have two eggs over easy with chorico, hash Browns and wheat toast,"
"I'd like bagel toasted butter ,","I'd like to have a bagel toasted With butter,"
"sorry , moment May ask who's calling ? ,","I am sorry, she is not here at the moment May I ask who's calling?,"
"Sometimes need feel sorry , ,","Sometimes I just need to feel sorry for myself, not,"
"ALS body , affect mind ,","ALS the body, it does not affect the mind,"
"grateful prayers , thoughts support I've received ,","I am so grateful for all the prayers, thoughts and support I've received,"
"May something drink ? ,","May I have something to drink?,"
"I'd like breakfast sandwich sausage cheese plain bagel ,","I'd like to have a breakfast sandwich With sausage and cheese on a plain bagel,"
